validation,topics,alpha,beta,coherence
100% Corpus,5,0.1,symmetric,0.3659237280157946
100% Corpus,5,0.4,symmetric,0.41284562305809913
100% Corpus,5,0.7000000000000001,symmetric,0.392224663643247
100% Corpus,5,symmetric,symmetric,0.3603182448573139
100% Corpus,5,asymmetric,symmetric,0.39428794251173455
100% Corpus,6,0.1,symmetric,0.38707056262825584
100% Corpus,6,0.4,symmetric,0.42141641121099677
100% Corpus,6,0.7000000000000001,symmetric,0.41235125241437026
100% Corpus,6,symmetric,symmetric,0.3985005085696538
100% Corpus,6,asymmetric,symmetric,0.40425592939109767
100% Corpus,7,0.1,symmetric,0.3686560016920341
100% Corpus,7,0.4,symmetric,0.3721096620435137
100% Corpus,7,0.7000000000000001,symmetric,0.4232094034714019
100% Corpus,7,symmetric,symmetric,0.3726308175580647
100% Corpus,7,asymmetric,symmetric,0.41848498211189844
100% Corpus,8,0.1,symmetric,0.39202385297298653
100% Corpus,8,0.4,symmetric,0.3523407146953662
100% Corpus,8,0.7000000000000001,symmetric,0.41241059815051456
100% Corpus,8,symmetric,symmetric,0.39051578013619065
100% Corpus,8,asymmetric,symmetric,0.39621093335108165
100% Corpus,9,0.1,symmetric,0.346074805717679
100% Corpus,9,0.4,symmetric,0.3557289518033585
100% Corpus,9,0.7000000000000001,symmetric,0.36600368128266225
100% Corpus,9,symmetric,symmetric,0.35602725007733854
100% Corpus,9,asymmetric,symmetric,0.38885151759148695
100% Corpus,10,0.1,symmetric,0.3715390132631802
100% Corpus,10,0.4,symmetric,0.37173486178459725
100% Corpus,10,0.7000000000000001,symmetric,0.37484277543895556
100% Corpus,10,symmetric,symmetric,0.3479603951998488
100% Corpus,10,asymmetric,symmetric,0.37546821866185737
